Better,Worse,
H005,C005,
B001,C003,
F004,B004,
C001,D001,
H004,C002,
I002,C002,
F003,C004,
H004,B002,
D002,B001,
I004,B002,
D004,C001,
H005,C003,
E004,C002,
D004,B001,
B004,I004,
C001,C003,
F004,C003,
B003,D003,
C005,D003,
I003,C002,
D005,C005,
I003,B001,
B003,I002,
F003,C002,
H002,B002,
C004,D003,
E005,C004,
E001,C005,
B003,B002,
H005,C004,
F004,C002,
E005,C002,
B004,E005,
F004,B003,
B003,D002,
I002,B001,
B003,C003,
B003,B001,
I005,B003,
I003,C003,
D005,B001,
F003,B001,
D005,C003,
F003,C005,
B004,D001,
E004,B002,
D005,B002,
H005,B001,
D003,B002,
E001,B002,
E001,B001,
B004,C003,
B004,I002,
F001,B002,
B004,D004,
I003,B002,
E003,C003,
E005,B001,
E003,B002,
F003,C001,
E003,C002,
D005,C001,
E003,B001,
H002,C003,
C004,D001,
E001,C001,
D002,B002,
C005,C001,
I002,C001,
E005,C003,
C004,C003,
C002,B001,
E003,C004,
E003,C001,
C001,D003,
F001,B004,
E005,C005,
I005,B001,
E004,C003,
H002,C002,
I003,C001,
D004,C003,
B003,D005,
D002,C002,
B004,D003,
F001,C002,
B004,D002,
H005,B004,
B003,D004,
B004,C002,
B004,E004,
C004,C002,
H004,C005,
E005,B002,
E003,C005,
I004,C004,
H002,C001,
I005,C003,
F003,B002,
B004,D005,
H004,B003,
B004,C005,
B003,C002,
I004,C005,
E004,C004,
B004,F003,
B004,I003,
I005,B004,
F001,B001,
I005,C005,
C001,B002,
H002,B001,
H005,C002,
F004,C005,
F004,B002,
H004,C001,
I004,C002,
D005,C004,
E004,B001,
E001,C004,
F004,C001,
I003,C005,
B003,E003,
C005,D002,
B003,D001,
C002,C003,
B004,B002,
H002,B003,
F003,C003,
I003,C004,
I004,B003,
C001,C002,
B003,C004,
D003,C003,
H002,C004,
B004,C004,
D004,B002,
D001,C003,
E001,C003,
C004,B002,
C002,B002,
I005,C002,
F004,B001,
B004,E003,
F001,C004,
F003,B003,
C004,D002,
H005,B003,
D004,C002,
B004,B003,
C005,C003,
C005,B002,
C001,B001,
I004,C001,
B003,C005,
D003,C002,
B002,C003,
I002,B002,
F004,C004,
F001,C001,
F001,C003,
D005,C002,
F001,C005,
E004,C005,
B003,E001,
H004,B004,
F001,B003,
D001,B002,
E004,C001,
D001,B001,
C005,D001,
C005,B001,
C004,C001,
I005,B002,
C005,C002,
D003,B001,
C004,B001,
B004,C001,
H004,C004,
I005,C004,
B004,B001,
I002,C003,
E001,C002,
I004,C003,
B004,E001,
H005,C001,
B003,C001,
E005,C001,
I004,B001,
H005,B002,
H004,B001,
I005,C001,
H002,C005,
E005,B003,
D002,C003,
H004,C003,
